ride_id,pickup_ts,dropoff_ts,passenger_count,trip_distance,fare_amount,tip_amount,payment_type
1,2024-01-01 02:08:00,2024-01-01 05:36:00,4,5.58,12.49,9.61,card
2,2024-01-01 18:34:00,2024-01-02 07:21:00,3,6.79,13.06,3.02,cash
3,2024-01-01 15:42:00,2024-01-02 22:12:00,3,5.23,13.65,13.32,card
4,2024-01-01 10:31:00,2024-01-02 17:39:00,4,9.86,51.47,12.18,card
5,2024-01-01 10:23:00,2024-01-01 13:16:00,1,13.82,14.15,5.24,wallet
6,2024-01-01 20:36:00,2024-01-01 21:52:00,4,4.95,68.93,8.68,card
7,2024-01-01 02:03:00,2024-01-02 01:34:00,4,6.95,61.57,2.12,wallet
8,2024-01-01 16:44:00,2024-01-01 12:01:00,3,18.64,66.49,14.59,cash
9,2024-01-01 04:50:00,2024-01-01 13:01:00,3,1.45,44.45,13.54,card
10,2024-01-01 02:15:00,2024-01-01 11:29:00,3,9.49,79.75,13.83,card
11,2024-01-01 12:38:00,2024-01-02 23:44:00,2,14.38,8.31,4.98,cash
12,2024-01-01 23:24:00,2024-01-02 11:51:00,4,3.43,35.09,2.54,wallet
13,2024-01-01 17:39:00,2024-01-02 16:23:00,1,1.42,29.3,3.18,card
14,2024-01-01 18:16:00,2024-01-02 15:13:00,2,3.2,76.15,1.35,card
15,2024-01-01 17:13:00,2024-01-02 22:02:00,3,18.42,48.26,1.8,card
16,2024-01-01 18:51:00,2024-01-01 05:12:00,4,0.68,65.46,1.07,card
17,2024-01-01 12:19:00,2024-01-02 18:20:00,2,4.17,17.78,14.85,cash
18,2024-01-01 03:04:00,2024-01-01 03:21:00,2,1.11,78.4,1.11,card
19,2024-01-01 20:09:00,2024-01-01 22:54:00,1,2.66,42.4,1.99,cash
20,2024-01-01 10:48:00,2024-01-02 04:36:00,1,12.59,42.03,12.41,cash
21,2024-01-01 12:00:00,2024-01-01 17:17:00,1,5.21,77.82,8.7,cash
22,2024-01-01 08:53:00,2024-01-01 07:09:00,1,11.6,33.55,11.62,cash
23,2024-01-01 04:22:00,2024-01-01 09:21:00,4,12.01,34.81,9.46,cash
24,2024-01-01 22:14:00,2024-01-02 15:36:00,4,17.06,48.86,13.23,cash
25,2024-01-01 18:45:00,2024-01-01 15:24:00,4,0.59,14.6,9.58,cash
26,2024-01-01 15:27:00,2024-01-01 15:00:00,1,17.14,29.08,7.83,card
27,2024-01-01 09:39:00,2024-01-02 20:20:00,1,12.57,19.49,10.69,card
